,ParentProductNumber,ParentProductNumberSubs,prdictProbaMean,prdictProbaStd,countRows,rankMeanAndStd
35,1817063,7290111352935,0.517782684141264,0.0183902438426442,30,1
36,1817063,8001003100164,0.488357286868707,0.0221110303314367,13,2
37,2752332,87108538,0.86678982151897,0.109574637980455,7,1
38,2752332,87311396,0.818027756224679,0.0894245811651049,24,2
39,2752332,87108712,0.708853061987193,0.0472776451319646,5,3
40,2752349,87108019,0.833851245090263,0.116374708707191,9,1
41,2752493,80050124,0.683985763363206,0.00797438503786473,7,1
42,2752493,2753223,0.483095278476899,0.0201766969802125,13,2
43,2753223,80050025,0.678053484128577,0.00373539387571518,4,1
44,3143276,7290016408294,0.859458732851077,0.0836470051698359,14,1
45,3143276,7290112335043,0.707707904090243,0.0521208909818232,5,2
46,3143276,7296073220480,0.638928339034297,0.0188924149237662,4,3
47,3144068,3145539,0.821233298174645,0.0102489535013735,35,1
48,3144068,3144600,0.655944421690501,0.0167340701795731,39,2
49,3144068,7290100859162,0.674420863284225,0.0495408812493581,8,3
50,3144600,3145539,0.763033653477041,0.0114518413652064,11,1
51,3144600,5197635,0.721889171967488,0.00816444890659036,5,2
52,3144600,7296073202479,0.659198079004493,0.0132612772438967,10,3
53,3145539,3144068,0.863525505669667,0.00871371250672394,44,1
54,3145539,5197635,0.765817217321583,0.0115505362874435,3,2
55,3145539,7296073202479,0.67875405918355,0.0185469367191165,3,3
56,3423909,3444009,0.666977524640837,0.178887866265167,17,1
57,3423909,5000159020312,0.389438478329135,0.13843601440235,3,2
